Species	Symbol	Ensembl	Family	Protein	Entrez ID
Sus_scrofa	HNF1A	ENSSSCG00000009919	Homeobox	ENSSSCP00000010585;ENSSSCP00000010584;	574067
Sus_scrofa	-	ENSSSCG00000031166	zf-C2H2	ENSSSCP00000038003;	110255222
Sus_scrofa	SHOX2	ENSSSCG00000025238	Homeobox	ENSSSCP00000050114;ENSSSCP00000020186;	100628206
Sus_scrofa	ZBED1	ENSSSCG00000031130	zf-BED	ENSSSCP00000054004;	110259144
Sus_scrofa	ZSCAN26	ENSSSCG00000001206	zf-C2H2	ENSSSCP00000047896;ENSSSCP00000001275;	110255333
Sus_scrofa	LIN28A	ENSSSCG00000003557	CSD	ENSSSCP00000003860;	100142662
Sus_scrofa	SATB1	ENSSSCG00000011201	CUT	ENSSSCP00000011952;	100155111
Sus_scrofa	MEF2A	ENSSSCG00000028771	SRF	ENSSSCP00000026217;ENSSSCP00000033646;ENSSSCP00000023801;ENSSSCP00000041379;ENSSSCP00000038435;	100037273
Sus_scrofa	TULP2	ENSSSCG00000003149	Tub	ENSSSCP00000049452;ENSSSCP00000003412;	100511262
Sus_scrofa	-	ENSSSCG00000032023	zf-C2H2	ENSSSCP00000038719;ENSSSCP00000035971;ENSSSCP00000034089;	-
Sus_scrofa	TULP3	ENSSSCG00000000737	Tub	ENSSSCP00000059563;ENSSSCP00000000785;	100511196
Sus_scrofa	TP73	ENSSSCG00000025685	P53	ENSSSCP00000025975;	102165390
Sus_scrofa	-	ENSSSCG00000028981	zf-C2H2	ENSSSCP00000020726;	100514675
Sus_scrofa	SIX5	ENSSSCG00000035791	Homeobox	ENSSSCP00000045388;	100626906
Sus_scrofa	ZSCAN23	ENSSSCG00000037512	zf-C2H2	ENSSSCP00000037474;	100522500
Sus_scrofa	MECOM	ENSSSCG00000011743	zf-C2H2	ENSSSCP00000022799;ENSSSCP00000046589;ENSSSCP00000027810;ENSSSCP00000012514;	100518275
Sus_scrofa	FOXC1	ENSSSCG00000039756	Fork_head	ENSSSCP00000035002;	102159047
Sus_scrofa	GATAD1	ENSSSCG00000031835	zf-GATA	ENSSSCP00000035399;	100627096
Sus_scrofa	LHX4	ENSSSCG00000015536	Homeobox	ENSSSCP00000016472;	100620544
Sus_scrofa	EMX2	ENSSSCG00000032558	Homeobox	ENSSSCP00000042074;	100152562
Sus_scrofa	ZNF292	ENSSSCG00000035281	zf-C2H2	ENSSSCP00000044110;ENSSSCP00000049292;ENSSSCP00000052491;	100517252
Sus_scrofa	SP110	ENSSSCG00000016261	SAND	ENSSSCP00000056418;ENSSSCP00000037919;ENSSSCP00000017225;ENSSSCP00000045556;ENSSSCP00000053159;	100519278
Sus_scrofa	ZNF268	ENSSSCG00000035148	zf-C2H2	ENSSSCP00000053344;ENSSSCP00000052535;ENSSSCP00000048874;	100154415
Sus_scrofa	ZNF260	ENSSSCG00000002930	zf-C2H2	ENSSSCP00000034330;ENSSSCP00000003156;ENSSSCP00000037009;	106510533
Sus_scrofa	E2F3	ENSSSCG00000040178	E2F	ENSSSCP00000058098;	100154407
Sus_scrofa	TADA2B	ENSSSCG00000029624	MYB	ENSSSCP00000027357;ENSSSCP00000032908;	100622052
Sus_scrofa	ELF1	ENSSSCG00000009440	ETS	ENSSSCP00000037752;ENSSSCP00000035049;ENSSSCP00000023190;ENSSSCP00000010079;ENSSSCP00000055568;ENSSSCP00000034754;	100512366
Sus_scrofa	ZBTB21	ENSSSCG00000027786	ZBTB	ENSSSCP00000022194;	-
Sus_scrofa	MBD1	ENSSSCG00000004516	MBD	ENSSSCP00000049738;ENSSSCP00000032035;ENSSSCP00000043813;ENSSSCP00000036854;ENSSSCP00000058248;ENSSSCP00000004871;ENSSSCP00000041254;	100523937
Sus_scrofa	JUNB	ENSSSCG00000013735	TF_bZIP	ENSSSCP00000024354;	100523358
Sus_scrofa	ZBED2	ENSSSCG00000011936	zf-BED	ENSSSCP00000012716;	100517972
Sus_scrofa	MSGN1	ENSSSCG00000026538	bHLH	ENSSSCP00000026792;	100520670
Sus_scrofa	STAT5A	ENSSSCG00000017402	STAT	ENSSSCP00000046308;ENSSSCP00000018442;ENSSSCP00000057882;	397550
Sus_scrofa	ZNF507	ENSSSCG00000025139	zf-C2H2	ENSSSCP00000021459;ENSSSCP00000038094;ENSSSCP00000055011;ENSSSCP00000045599;	100524681
Sus_scrofa	SCRT2	ENSSSCG00000039028	zf-C2H2	ENSSSCP00000045041;	100620262
Sus_scrofa	BAZ2A	ENSSSCG00000000403	MBD	ENSSSCP00000051908;ENSSSCP00000041725;ENSSSCP00000057680;ENSSSCP00000054440;ENSSSCP00000020739;ENSSSCP00000044709;ENSSSCP00000032193;ENSSSCP00000000430;	100153516
Sus_scrofa	ZNF76	ENSSSCG00000001537	zf-C2H2	ENSSSCP00000001668;ENSSSCP00000054735;ENSSSCP00000020146;	106504047
Sus_scrofa	ZNF496	ENSSSCG00000036756	zf-C2H2	ENSSSCP00000046867;ENSSSCP00000034558;	100518601
Sus_scrofa	ZSCAN30	ENSSSCG00000003740	zf-C2H2	ENSSSCP00000004048;ENSSSCP00000037799;ENSSSCP00000048080;	-
Sus_scrofa	NR3C2	ENSSSCG00000037766	ESR-like	ENSSSCP00000050935;ENSSSCP00000029662;	100620970
Sus_scrofa	THAP9	ENSSSCG00000009243	THAP	ENSSSCP00000009857;	100525594
Sus_scrofa	-	ENSSSCG00000033611	zf-C2H2	ENSSSCP00000039108;ENSSSCP00000056264;	-
Sus_scrofa	FOXB1	ENSSSCG00000035244	Fork_head	ENSSSCP00000045510;	106508979
Sus_scrofa	-	ENSSSCG00000039310	CSD	ENSSSCP00000035649;	-
Sus_scrofa	ZNF19	ENSSSCG00000021770	zf-C2H2	ENSSSCP00000019462;	-
Sus_scrofa	CSDC2	ENSSSCG00000000062	CSD	ENSSSCP00000000068;	100153407
Sus_scrofa	ZIC2	ENSSSCG00000009520	zf-C2H2	ENSSSCP00000010167;	100622978
Sus_scrofa	HEY2	ENSSSCG00000004223	bHLH	ENSSSCP00000004561;	100152404
Sus_scrofa	HOXC5	ENSSSCG00000040798	Homeobox	ENSSSCP00000033297;	100152707
Sus_scrofa	HOXD8	ENSSSCG00000040349	Homeobox	ENSSSCP00000055275;	100515172
Sus_scrofa	CSRNP1	ENSSSCG00000011264	CSRNP_N	ENSSSCP00000049938;ENSSSCP00000012010;ENSSSCP00000048341;	100519275
Sus_scrofa	ZNF331	ENSSSCG00000031793	zf-C2H2	ENSSSCP00000032156;ENSSSCP00000039222;ENSSSCP00000051457;ENSSSCP00000031161;	110261294
Sus_scrofa	RELA	ENSSSCG00000012981	RHD	ENSSSCP00000031433;ENSSSCP00000028005;ENSSSCP00000013805;	100135665
Sus_scrofa	IRF6	ENSSSCG00000015612	IRF	ENSSSCP00000016552;ENSSSCP00000036283;ENSSSCP00000028787;ENSSSCP00000041841;ENSSSCP00000032471;	397521
Sus_scrofa	HMBOX1	ENSSSCG00000009682	Homeobox	ENSSSCP00000010341;ENSSSCP00000045173;ENSSSCP00000010340;	100153880
Sus_scrofa	TEAD1	ENSSSCG00000013399	TEA	ENSSSCP00000043685;ENSSSCP00000014243;ENSSSCP00000056461;ENSSSCP00000014242;ENSSSCP00000034489;ENSSSCP00000031941;	100216478
Sus_scrofa	-	ENSSSCG00000032597	HSF	ENSSSCP00000038942;	110257872
Sus_scrofa	HSF4	ENSSSCG00000002792	HSF	ENSSSCP00000003013;	100523672
Sus_scrofa	ZFP30	ENSSSCG00000029408	zf-C2H2	ENSSSCP00000050568;ENSSSCP00000022279;	100739425
Sus_scrofa	-	ENSSSCG00000032210	HSF	ENSSSCP00000041833;	110257886
Sus_scrofa	-	ENSSSCG00000017507	CP2	ENSSSCP00000018554;	100517731
Sus_scrofa	TBX10	ENSSSCG00000034410	T-box	ENSSSCP00000054399;	-
Sus_scrofa	-	ENSSSCG00000028345	zf-C2H2	ENSSSCP00000027169;ENSSSCP00000019247;ENSSSCP00000021605;	100627762
Sus_scrofa	PBX4	ENSSSCG00000013933	Homeobox	ENSSSCP00000021786;	-
Sus_scrofa	RUNX1	ENSSSCG00000035537	Runt	ENSSSCP00000012832;ENSSSCP00000041538;ENSSSCP00000041677;	100512633
Sus_scrofa	ZNF449	ENSSSCG00000012691	zf-C2H2	ENSSSCP00000058928;ENSSSCP00000013491;	102166396
Sus_scrofa	PRDM14	ENSSSCG00000006195	zf-C2H2	ENSSSCP00000006606;	100519142
Sus_scrofa	GATA4	ENSSSCG00000022383	zf-GATA	ENSSSCP00000027951;	397555
Sus_scrofa	TERF2	ENSSSCG00000002762	MYB	ENSSSCP00000002980;	100517762
Sus_scrofa	POU2F3	ENSSSCG00000028237	Pou	ENSSSCP00000019390;	397514
Sus_scrofa	-	ENSSSCG00000036563	HSF	ENSSSCP00000055207;	110257891
Sus_scrofa	-	ENSSSCG00000038095	zf-C2H2	ENSSSCP00000038534;ENSSSCP00000043033;ENSSSCP00000047699;ENSSSCP00000042318;	-
Sus_scrofa	RLF	ENSSSCG00000003670	zf-C2H2	ENSSSCP00000052790;ENSSSCP00000003974;ENSSSCP00000032625;	100620967
Sus_scrofa	DBX1	ENSSSCG00000013350	Homeobox	ENSSSCP00000014184;	100520887
Sus_scrofa	-	ENSSSCG00000023596	zf-C2H2	ENSSSCP00000047336;ENSSSCP00000046785;ENSSSCP00000054119;ENSSSCP00000056270;ENSSSCP00000044998;ENSSSCP00000024866;ENSSSCP00000055336;ENSSSCP00000033524;	100738050
Sus_scrofa	-	ENSSSCG00000040864	MYB	ENSSSCP00000037772;	-
Sus_scrofa	HOXA13	ENSSSCG00000029666	Homeobox	ENSSSCP00000044282;ENSSSCP00000026595;	100359352
Sus_scrofa	ZNF782	ENSSSCG00000011167	zf-C2H2	ENSSSCP00000053138;ENSSSCP00000039355;ENSSSCP00000055003;ENSSSCP00000011915;	102164376
Sus_scrofa	ZNF25	ENSSSCG00000010196	zf-C2H2	ENSSSCP00000032675;ENSSSCP00000010872;	100522707
Sus_scrofa	ZNF366	ENSSSCG00000016976	zf-C2H2	ENSSSCP00000040180;ENSSSCP00000017986;ENSSSCP00000057675;	100519576
Sus_scrofa	ZNF653	ENSSSCG00000013616	zf-C2H2	ENSSSCP00000043967;ENSSSCP00000047389;	100514894
Sus_scrofa	GATA3	ENSSSCG00000011125	zf-GATA	ENSSSCP00000041348;ENSSSCP00000011863;	733631
Sus_scrofa	HOXC6	ENSSSCG00000030585	Homeobox	ENSSSCP00000020769;	100627932
Sus_scrofa	ZHX2	ENSSSCG00000021586	Homeobox	ENSSSCP00000026992;	100152952
Sus_scrofa	-	ENSSSCG00000033131	ETS	ENSSSCP00000039786;	-
Sus_scrofa	ISL1	ENSSSCG00000016883	Homeobox	ENSSSCP00000017891;ENSSSCP00000048698;	100511417
Sus_scrofa	GABPA	ENSSSCG00000037655	ETS	ENSSSCP00000039877;ENSSSCP00000035893;ENSSSCP00000044664;	100737779
Sus_scrofa	MEF2D	ENSSSCG00000006482	SRF	ENSSSCP00000006908;ENSSSCP00000056808;ENSSSCP00000058965;ENSSSCP00000042967;ENSSSCP00000046744;	100156714
Sus_scrofa	THAP1	ENSSSCG00000039969	THAP	ENSSSCP00000035307;ENSSSCP00000041016;	100621925
Sus_scrofa	NKX1-1	ENSSSCG00000038573	Homeobox	ENSSSCP00000040796;	110262040
Sus_scrofa	ZBTB12	ENSSSCG00000001421	ZBTB	ENSSSCP00000001519;ENSSSCP00000001519;	100124380
Sus_scrofa	SETDB2	ENSSSCG00000009395	MBD	ENSSSCP00000010026;ENSSSCP00000040352;ENSSSCP00000039625;ENSSSCP00000031639;	100157885
Sus_scrofa	MEIS3	ENSSSCG00000003115	Homeobox	ENSSSCP00000003372;	100518492
Sus_scrofa	ZBTB16	ENSSSCG00000030095	ZBTB	ENSSSCP00000034371;ENSSSCP00000034371;ENSSSCP00000019974;	100625290
Sus_scrofa	YY1	ENSSSCG00000037558	zf-C2H2	ENSSSCP00000053317;ENSSSCP00000031369;	102162035
Sus_scrofa	CEBPD	ENSSSCG00000032367	TF_bZIP	ENSSSCP00000050761;	-
Sus_scrofa	MGA	ENSSSCG00000004739	T-box	ENSSSCP00000038842;ENSSSCP00000032373;ENSSSCP00000005110;ENSSSCP00000055434;ENSSSCP00000037701;ENSSSCP00000005109;	100156980
Sus_scrofa	HES1	ENSSSCG00000031356	bHLH	ENSSSCP00000047613;	100499567
Sus_scrofa	NFE2L1	ENSSSCG00000017525	TF_bZIP	ENSSSCP00000045241;ENSSSCP00000042324;ENSSSCP00000039180;ENSSSCP00000018573;	106505015
Sus_scrofa	ZBTB39	ENSSSCG00000037617	zf-C2H2	ENSSSCP00000031268;	102157615
Sus_scrofa	HHEX	ENSSSCG00000036314	Homeobox	ENSSSCP00000032913;	397232
Sus_scrofa	ERG	ENSSSCG00000022318	ETS	ENSSSCP00000044224;ENSSSCP00000020188;ENSSSCP00000049206;	100625364
Sus_scrofa	ZNF283	ENSSSCG00000003072	zf-C2H2	ENSSSCP00000003326;	100626883
Sus_scrofa	ZEB2	ENSSSCG00000021343	zf-C2H2	ENSSSCP00000043596;ENSSSCP00000043596;ENSSSCP00000039663;ENSSSCP00000039663;ENSSSCP00000046111;ENSSSCP00000046111;ENSSSCP00000021098;ENSSSCP00000021098;ENSSSCP00000040359;ENSSSCP00000040359;ENSSSCP00000052997;ENSSSCP00000057393;ENSSSCP00000041894;	100739669
Sus_scrofa	-	ENSSSCG00000032939	DM	ENSSSCP00000022953;	-
Sus_scrofa	LHX8	ENSSSCG00000003778	Homeobox	ENSSSCP00000046739;ENSSSCP00000004087;	100310798
Sus_scrofa	NRF1	ENSSSCG00000016566	Nrf1	ENSSSCP00000037199;ENSSSCP00000017550;ENSSSCP00000024694;ENSSSCP00000045379;	100517203
Sus_scrofa	ZNF710	ENSSSCG00000021361	zf-C2H2	ENSSSCP00000032874;ENSSSCP00000048327;ENSSSCP00000045921;ENSSSCP00000039201;ENSSSCP00000052069;ENSSSCP00000020291;ENSSSCP00000056244;ENSSSCP00000053006;ENSSSCP00000053746;	100152649
Sus_scrofa	ZNF667	ENSSSCG00000024622	zf-C2H2	ENSSSCP00000043304;ENSSSCP00000054360;ENSSSCP00000024069;	100521730
Sus_scrofa	ETV3L	ENSSSCG00000006460	ETS	ENSSSCP00000044302;ENSSSCP00000006885;	100152845
Sus_scrofa	E4F1	ENSSSCG00000008047	zf-C2H2	ENSSSCP00000008595;	100517704
Sus_scrofa	TEF	ENSSSCG00000035152	TF_bZIP	ENSSSCP00000040713;ENSSSCP00000034880;	110260633
Sus_scrofa	-	ENSSSCG00000039178	Pou	ENSSSCP00000037059;	-
Sus_scrofa	HEYL	ENSSSCG00000038956	bHLH	ENSSSCP00000044056;ENSSSCP00000034814;	100518256
Sus_scrofa	SP3	ENSSSCG00000015962	zf-C2H2	ENSSSCP00000016915;	100153372
Sus_scrofa	PRDM13	ENSSSCG00000004354	zf-C2H2	ENSSSCP00000004698;	100514742
Sus_scrofa	KLF2	ENSSSCG00000038911	zf-C2H2	ENSSSCP00000052267;	100174959
Sus_scrofa	FOXK2	ENSSSCG00000017125	Fork_head	ENSSSCP00000018142;	100522272
Sus_scrofa	PMS1	ENSSSCG00000016045	HMG	ENSSSCP00000047157;ENSSSCP00000017000;ENSSSCP00000054943;ENSSSCP00000055751;ENSSSCP00000054896;ENSSSCP00000052520;ENSSSCP00000035488;	100513383
Sus_scrofa	MYOD1	ENSSSCG00000013375	bHLH	ENSSSCP00000014214;	407604
Sus_scrofa	ZNF790	ENSSSCG00000030256	zf-C2H2	ENSSSCP00000003172;	-
Sus_scrofa	ZNF445	ENSSSCG00000024556	zf-C2H2	ENSSSCP00000025662;ENSSSCP00000058233;ENSSSCP00000034206;ENSSSCP00000043721;	100626643
Sus_scrofa	TERB1	ENSSSCG00000035104	MYB	ENSSSCP00000058075;	110260937
Sus_scrofa	ZNF165	ENSSSCG00000001197	zf-C2H2	ENSSSCP00000055282;ENSSSCP00000001266;	100738941
Sus_scrofa	DMRTA1	ENSSSCG00000005131	DM	ENSSSCP00000005516;	100517627
Sus_scrofa	-	ENSSSCG00000035851	Fork_head	ENSSSCP00000036845;ENSSSCP00000048138;ENSSSCP00000032487;	-
Sus_scrofa	-	ENSSSCG00000037931	zf-C2H2	ENSSSCP00000050406;	-
Sus_scrofa	FOXD3	ENSSSCG00000032215	Fork_head	ENSSSCP00000048578;	110261214
Sus_scrofa	-	ENSSSCG00000040403	Homeobox	ENSSSCP00000056364;	106507523
Sus_scrofa	GATA6	ENSSSCG00000003702	zf-GATA	ENSSSCP00000004009;ENSSSCP00000031695;	397600
Sus_scrofa	IRX3	ENSSSCG00000002831	Homeobox	ENSSSCP00000003051;	100518611
Sus_scrofa	MAZ	ENSSSCG00000025321	zf-C2H2	ENSSSCP00000026774;	100622994
Sus_scrofa	HOXD12	ENSSSCG00000015980	Homeobox	ENSSSCP00000016932;	100158034
Sus_scrofa	ZNF404	ENSSSCG00000003071	zf-C2H2	ENSSSCP00000003325;	100737509
Sus_scrofa	NFKB2	ENSSSCG00000010580	RHD	ENSSSCP00000011271;ENSSSCP00000030561;	100153829
Sus_scrofa	CSRNP2	ENSSSCG00000037029	CSRNP_N	ENSSSCP00000054432;ENSSSCP00000032092;	106508452
Sus_scrofa	HOXC11	ENSSSCG00000028104	Homeobox	ENSSSCP00000025770;	100628033
Sus_scrofa	RXRA	ENSSSCG00000038220	RXR-like	ENSSSCP00000036289;ENSSSCP00000050688;ENSSSCP00000058828;ENSSSCP00000031059;ENSSSCP00000058639;	397306
Sus_scrofa	NOTO	ENSSSCG00000008306	Homeobox	ENSSSCP00000008868;	100521005
Sus_scrofa	ZBTB7B	ENSSSCG00000028606	ZBTB	ENSSSCP00000059082;ENSSSCP00000059082;ENSSSCP00000020065;	100622022
Sus_scrofa	-	ENSSSCG00000021683	zf-C2H2	ENSSSCP00000020673;	-
Sus_scrofa	CUX1	ENSSSCG00000007681	CUT	ENSSSCP00000032553;ENSSSCP00000008203;ENSSSCP00000048247;	100521258
Sus_scrofa	PROX1	ENSSSCG00000015584	HPD	ENSSSCP00000052503;ENSSSCP00000044258;ENSSSCP00000016523;ENSSSCP00000037299;	100169702
Sus_scrofa	USF2	ENSSSCG00000002885	bHLH	ENSSSCP00000038659;ENSSSCP00000048017;ENSSSCP00000003106;ENSSSCP00000039258;	100515549
Sus_scrofa	ZNF205	ENSSSCG00000029375	zf-C2H2	ENSSSCP00000054884;ENSSSCP00000033674;ENSSSCP00000056378;ENSSSCP00000057199;ENSSSCP00000023565;	100626782
Sus_scrofa	ZSCAN12	ENSSSCG00000001209	zf-C2H2	ENSSSCP00000001278;	100152126
Sus_scrofa	MBD2	ENSSSCG00000004528	MBD	ENSSSCP00000004882;	-
Sus_scrofa	PLAG1	ENSSSCG00000006247	zf-C2H2	ENSSSCP00000006660;ENSSSCP00000050355;	100154905
Sus_scrofa	NPAS4	ENSSSCG00000012942	bHLH	ENSSSCP00000013761;	100520174
Sus_scrofa	ZNF891	ENSSSCG00000037951	zf-C2H2	ENSSSCP00000042356;	110256671
Sus_scrofa	ZNF157	ENSSSCG00000012272	zf-C2H2	ENSSSCP00000030882;ENSSSCP00000025332;	100525091
Sus_scrofa	ZNF3	ENSSSCG00000037215	zf-C2H2	ENSSSCP00000039553;ENSSSCP00000047533;ENSSSCP00000050690;ENSSSCP00000040928;	100518654
Sus_scrofa	NEUROD4	ENSSSCG00000035778	bHLH	ENSSSCP00000040096;	100151884
Sus_scrofa	ZNF316	ENSSSCG00000023378	zf-C2H2	ENSSSCP00000023774;	100738074
Sus_scrofa	SMAD2	ENSSSCG00000004505	MH1	ENSSSCP00000050281;ENSSSCP00000037806;ENSSSCP00000054408;ENSSSCP00000042282;	100155304
Sus_scrofa	PITX3	ENSSSCG00000010578	Homeobox	ENSSSCP00000011269;	100154216
Sus_scrofa	RABEP1	ENSSSCG00000017895	zf-C2H2	ENSSSCP00000037925;ENSSSCP00000022347;ENSSSCP00000041045;	100626730
Sus_scrofa	MECP2	ENSSSCG00000034742	MBD	ENSSSCP00000013606;	-
Sus_scrofa	-	ENSSSCG00000003240	zf-C2H2	ENSSSCP00000003516;	100624035
Sus_scrofa	ZNF202	ENSSSCG00000015145	zf-C2H2	ENSSSCP00000016068;ENSSSCP00000047307;	100628238
Sus_scrofa	-	ENSSSCG00000026699	zf-C2H2	ENSSSCP00000020478;ENSSSCP00000045854;	100625792
Sus_scrofa	-	ENSSSCG00000035359	HSF	ENSSSCP00000055576;	110257913
Sus_scrofa	LBX2	ENSSSCG00000008278	Homeobox	ENSSSCP00000008838;	100514830
Sus_scrofa	KLF4	ENSSSCG00000005437	zf-C2H2	ENSSSCP00000028908;	595111
Sus_scrofa	KLF3	ENSSSCG00000036488	zf-C2H2	ENSSSCP00000042320;ENSSSCP00000059358;	100174960
Sus_scrofa	DACH1	ENSSSCG00000009457	DACH	ENSSSCP00000010097;	100156238
Sus_scrofa	-	ENSSSCG00000021371	zf-C2H2	ENSSSCP00000025266;	100621799
Sus_scrofa	HEY1	ENSSSCG00000006159	bHLH	ENSSSCP00000006570;	100157952
Sus_scrofa	ALX4	ENSSSCG00000040329	Homeobox	ENSSSCP00000037650;	-
Sus_scrofa	NEUROD1	ENSSSCG00000016011	bHLH	ENSSSCP00000016965;	397283
Sus_scrofa	BHLHE22	ENSSSCG00000006222	bHLH	ENSSSCP00000006633;	100739687
Sus_scrofa	CAMTA1	ENSSSCG00000036772	CG-1	ENSSSCP00000048193;ENSSSCP00000050065;ENSSSCP00000058267;ENSSSCP00000033820;	102160515
Sus_scrofa	ZNF791	ENSSSCG00000029347	zf-C2H2	ENSSSCP00000032249;ENSSSCP00000014587;	100521431
Sus_scrofa	-	ENSSSCG00000037391	zf-C2H2	ENSSSCP00000043484;ENSSSCP00000058183;	110257534
Sus_scrofa	TFEB	ENSSSCG00000001621	bHLH	ENSSSCP00000023442;ENSSSCP00000001756;ENSSSCP00000001762;	100157940
Sus_scrofa	ZNF396	ENSSSCG00000030018	zf-C2H2	ENSSSCP00000026533;ENSSSCP00000052327;	100620188
Sus_scrofa	GATA2	ENSSSCG00000011618	zf-GATA	ENSSSCP00000012381;ENSSSCP00000056753;ENSSSCP00000049777;ENSSSCP00000055100;	396912
Sus_scrofa	ZNF622	ENSSSCG00000016793	zf-C2H2	ENSSSCP00000056555;ENSSSCP00000017788;	100521757
Sus_scrofa	-	ENSSSCG00000033816	zf-C2H2	ENSSSCP00000042592;ENSSSCP00000032645;	100738906
Sus_scrofa	ZNF800	ENSSSCG00000024157	zf-C2H2	ENSSSCP00000031392;ENSSSCP00000045337;ENSSSCP00000038115;ENSSSCP00000031761;ENSSSCP00000021961;ENSSSCP00000049343;	100523758
Sus_scrofa	ZNF570	ENSSSCG00000031612	zf-C2H2	ENSSSCP00000043073;ENSSSCP00000054482;	100739461
Sus_scrofa	SOX6	ENSSSCG00000034191	HMG	ENSSSCP00000056063;ENSSSCP00000038933;ENSSSCP00000058306;ENSSSCP00000043723;ENSSSCP00000058907;ENSSSCP00000032523;ENSSSCP00000014224;ENSSSCP00000042363;	397173
Sus_scrofa	NR4A3	ENSSSCG00000005385	NGFIB-like	ENSSSCP00000005779;ENSSSCP00000005778;ENSSSCP00000057738;	397479
Sus_scrofa	GSC2	ENSSSCG00000010115	Homeobox	ENSSSCP00000010788;	-
Sus_scrofa	ETV6	ENSSSCG00000024152	ETS	ENSSSCP00000038755;ENSSSCP00000022759;ENSSSCP00000036410;	100157726
Sus_scrofa	CREM	ENSSSCG00000011106	TF_bZIP	ENSSSCP00000030897;ENSSSCP00000029744;ENSSSCP00000011843;ENSSSCP00000030520;ENSSSCP00000030567;ENSSSCP00000030043;	100512363
Sus_scrofa	ALX1	ENSSSCG00000036744	Homeobox	ENSSSCP00000049346;ENSSSCP00000056739;	100525700
Sus_scrofa	-	ENSSSCG00000003988	zf-C2H2	ENSSSCP00000032165;ENSSSCP00000004309;	-
Sus_scrofa	SOX8	ENSSSCG00000037970	HMG	ENSSSCP00000037814;ENSSSCP00000034944;	110259952
Sus_scrofa	SP6	ENSSSCG00000017522	zf-C2H2	ENSSSCP00000018570;	100519513
Sus_scrofa	-	ENSSSCG00000034610	HMGA	ENSSSCP00000053182;	100513206
Sus_scrofa	ESRRB	ENSSSCG00000002388	ESR-like	ENSSSCP00000049178;ENSSSCP00000002588;ENSSSCP00000046051;ENSSSCP00000051043;	100151940
Sus_scrofa	-	ENSSSCG00000003049	ETS	ENSSSCP00000003303;	-
Sus_scrofa	TOX2	ENSSSCG00000022202	HMG	ENSSSCP00000019830;	-
Sus_scrofa	FERD3L	ENSSSCG00000015371	bHLH	ENSSSCP00000016299;	100516634
Sus_scrofa	BBX	ENSSSCG00000011943	HMG	ENSSSCP00000053162;ENSSSCP00000019740;ENSSSCP00000051540;ENSSSCP00000059059;ENSSSCP00000049189;ENSSSCP00000012725;ENSSSCP00000043127;ENSSSCP00000046579;	100621192
Sus_scrofa	ZNF789	ENSSSCG00000007618	zf-C2H2	ENSSSCP00000008139;ENSSSCP00000059060;ENSSSCP00000054996;ENSSSCP00000048744;ENSSSCP00000058328;ENSSSCP00000047800;	100519827
Sus_scrofa	PPARG	ENSSSCG00000011579	THR-like	ENSSSCP00000053270;ENSSSCP00000048959;ENSSSCP00000052656;ENSSSCP00000053724;ENSSSCP00000038463;ENSSSCP00000031550;ENSSSCP00000012339;	397671
Sus_scrofa	ZNF777	ENSSSCG00000016775	zf-C2H2	ENSSSCP00000027558;ENSSSCP00000017770;	100520285
Sus_scrofa	-	ENSSSCG00000039638	zf-C2H2	ENSSSCP00000057745;	110261295
Sus_scrofa	-	ENSSSCG00000031994	HSF	ENSSSCP00000052939;	110257895
Sus_scrofa	NKX6-1	ENSSSCG00000009232	Homeobox	ENSSSCP00000009845;	397289
Sus_scrofa	TFAP2A	ENSSSCG00000001036	AP-2	ENSSSCP00000001107;ENSSSCP00000053009;ENSSSCP00000045810;	100049668
Sus_scrofa	CDX1	ENSSSCG00000014445	Homeobox	ENSSSCP00000015376;	100626275
Sus_scrofa	MLXIPL	ENSSSCG00000007710	bHLH	ENSSSCP00000008234;ENSSSCP00000048087;ENSSSCP00000036681;	100170769
Sus_scrofa	-	ENSSSCG00000003772	MYB	ENSSSCP00000035752;ENSSSCP00000058378;ENSSSCP00000058131;ENSSSCP00000004080;ENSSSCP00000046420;ENSSSCP00000046441;	100511643
Sus_scrofa	THAP11	ENSSSCG00000002769	THAP	ENSSSCP00000002988;	100520959
Sus_scrofa	HLX	ENSSSCG00000032644	Homeobox	ENSSSCP00000041640;	100517234
Sus_scrofa	ZNF174	ENSSSCG00000007958	zf-C2H2	ENSSSCP00000008497;	100520731
Sus_scrofa	-	ENSSSCG00000036417	zf-C2H2	ENSSSCP00000045683;ENSSSCP00000040670;	-
Sus_scrofa	HIC2	ENSSSCG00000036472	ZBTB	ENSSSCP00000051157;ENSSSCP00000051157;	-
Sus_scrofa	SALL1	ENSSSCG00000002836	zf-C2H2	ENSSSCP00000041515;ENSSSCP00000003056;	100519899
Sus_scrofa	HOXB6	ENSSSCG00000017539	Homeobox	ENSSSCP00000018587;	100627849
Sus_scrofa	AHR	ENSSSCG00000030484	bHLH	ENSSSCP00000022722;	396654
Sus_scrofa	GFI1	ENSSSCG00000006902	zf-C2H2	ENSSSCP00000007358;	110260381
Sus_scrofa	NHLH1	ENSSSCG00000006384	bHLH	ENSSSCP00000006807;	100512227
Sus_scrofa	NEUROD2	ENSSSCG00000033583	bHLH	ENSSSCP00000037557;	102167934
Sus_scrofa	SALL3	ENSSSCG00000004858	zf-C2H2	ENSSSCP00000005232;ENSSSCP00000032124;	-
